꿈이 있다	có ước mơ
꿈을 이루다	đạt được ước mơ
꿈을 가지다	mang ước mơ
꿈을 실현하다	 thực hiện giấc mơ
꿈을 꾸다	 mơ, mơ ước, mơ giấc mơ 
꿈을 좇다	 theo đuổi ước mơ
꿈을 키우다	nuôi dưỡng giấc mơ, ấp ủ ước mơ
미래를 꿈꾸다	mơ về tương lai
꿈을 펼치다	theo đuổi ước mơ
미래를 설계하다	lập kế hoạch tương lai
목표를 세우다	xây dựng, thiết lập mục tiêu
목표를 정하다	định, đặt ra mục tiêu
실패하다	thất bại
노력하다	cố gắng, nỗ lực
도전하다	thách thức, thử thách
꾸준히	kiên trì/bền bỉ
최선을 다하다	làm hết sức mình, làm hết những gì có thể
끈기	sự kiên trì
좌절하다	nản lòng, đổ bể, tan vỡ
목표를 이루다	đạt được mục tiêu
성과를 얻다	đạt được thành quả
극복하다	vượt qua, khắc phục
성공을 거두다	gặt hái được thành công
성취하다	toại nguyện, thỏa ước mơ
도달하다	đi đến, đạt đến, đạt được
목표에 도달하다	hoạt thành. đạt được mục tiêu
절망에 빠지다	Rơi vào tuyệt vọng



취득하다	có được, lấy được
안타깝다	đáng tiếc, tiếc nuối
국회의원	ủy viên quốc hội, đại biểu quốc hội
비례대표	đại diện theo tỷ lệ
선출되다	được chọn ra, được tuyển chọn, được lựa chọn
최초	sớm nhất, đầu tiên
출신	sự xuất thân
두려워하다	lo sợ
꾸준히	đều đặn



간직하다	giữ gìn, ấp ủ
실천하다	đưa vào thực tiễn, thực hiện
꿈을 품다	ấp ủ ước mơ
생명력	sức sống
마침내	 cuối cùng, kết cục, sau cùng, rốt cuộc
닮아가다	trở nên giống với
해내다	đạt được, thực hiện xong, hoàn thành
장담하다	quả quyết
일을 해내다	đạt được việc mong muốn
